Municipios	Sexo	Periodo	Total
28145 Talamanca de Jarama	Hombres	2022	2.053
28145 Talamanca de Jarama	Mujeres	2022	2.157
28146 Tielmes	Total	2022	2.783
28146 Tielmes	Hombres	2022	1.410
28146 Tielmes	Mujeres	2022	1.373
28147 Titulcia	Total	2022	1.336
28147 Titulcia	Hombres	2022	702
28147 Titulcia	Mujeres	2022	634
28148 Torrejón de Ardoz	Total	2022	134.733
28148 Torrejón de Ardoz	Hombres	2022	66.136
28148 Torrejón de Ardoz	Mujeres	2022	68.597
28149 Torrejón de la Calzada	Total	2022	9.947
28149 Torrejón de la Calzada	Hombres	2022	4.936
28149 Torrejón de la Calzada	Mujeres	2022	5.011
28150 Torrejón de Velasco	Total	2022	4.685
28150 Torrejón de Velasco	Hombres	2022	2.321
28150 Torrejón de Velasco	Mujeres	2022	2.364
28151 Torrelaguna	Total	2022	4.940
28151 Torrelaguna	Hombres	2022	2.459
28151 Torrelaguna	Mujeres	2022	2.481
28152 Torrelodones	Total	2022	24.775
28152 Torrelodones	Hombres	2022	11.945
28152 Torrelodones	Mujeres	2022	12.830
28153 Torremocha de Jarama	Total	2022	1.097
28153 Torremocha de Jarama	Hombres	2022	565
28153 Torremocha de Jarama	Mujeres	2022	532
28154 Torres de la Alameda	Total	2022	7.714
28154 Torres de la Alameda	Hombres	2022	3.951
28154 Torres de la Alameda	Mujeres	2022	3.763
28903 Tres Cantos	Total	2022	50.187
28903 Tres Cantos	Hombres	2022	24.325
28903 Tres Cantos	Mujeres	2022	25.862
28155 Valdaracete	Total	2022	627
28155 Valdaracete	Hombres	2022	322
28155 Valdaracete	Mujeres	2022	305
28156 Valdeavero	Total	2022	1.701
28156 Valdeavero	Hombres	2022	877
28156 Valdeavero	Mujeres	2022	824
28157 Valdelaguna	Total	2022	1.016
28157 Valdelaguna	Hombres	2022	509
28157 Valdelaguna	Mujeres	2022	507
28158 Valdemanco	Total	2022	1.033
28158 Valdemanco	Hombres	2022	534
28158 Valdemanco	Mujeres	2022	499
28159 Valdemaqueda	Total	2022	798
28159 Valdemaqueda	Hombres	2022	401
28159 Valdemaqueda	Mujeres	2022	397
28160 Valdemorillo	Total	2022	13.453
28160 Valdemorillo	Hombres	2022	6.773
28160 Valdemorillo	Mujeres	2022	6.680
28161 Valdemoro	Total	2022	79.100
28161 Valdemoro	Hombres	2022	38.886
28161 Valdemoro	Mujeres	2022	40.214
28162 Valdeolmos-Alalpardo	Total	2022	4.396
28162 Valdeolmos-Alalpardo	Hombres	2022	2.245
28162 Valdeolmos-Alalpardo	Mujeres	2022	2.151
28163 Valdepiélagos	Total	2022	621
28163 Valdepiélagos	Hombres	2022	319
28163 Valdepiélagos	Mujeres	2022	302
28164 Valdetorres de Jarama	Total	2022	4.830
